NUMBER_ID,NUMBER_TYPE,NUMBER_PREFIX,NUMBER_LENGTH,NUMBER_VALUE
1,Lead,LE,10,0
2,Opportunity,OP,10,0
3,Quotation,QT,10,0
4,Sales Order,SO,10,0
5,Sales Invoice,SI,10,0
6,Credit Note,CN,10,0
7,Sales Payment Receipt,SPR,10,0
8,Purchase Requisition,PR,10,0
9,Purchase Order,PO,10,0
10,Request for Quotation,RFQ,10,0
11,Goods Receipt Note,GRN,10,0
12,Debit Note,DN,10,0
13,Purchase Order Change Request,POC,10,0
14,Purchase Invoice,PI,10,0
15,Purchase Payment Receipt,PPR,10,0
16,Goods Receipt,STR,10,0
17,Goods Issue,STI,10,0
18,Stock Transfer,STT,10,0
19,Stock Return,STRE,10,0
20,Customer Payment,CPAY,10,0
21,Supplier Payment,SPAY,10,0
22,Employee Payment,EPAY,10,0
23,Stock Adjustment,STA,10,0
24,Work Order,WO,10,0
25,Contract,CO,10,0
26,Delivery Note,DE,10,0
27,Waste,WA,10,0
28,Jop Position,JP,10,0
29,Job Assignment,JA,10,0
30,Employee Contract,ECO,10,0
